country,iso3,region_un,unit,nh3_urea,nh3_total,share_nh3_from_urea
Colombia,COL,Americas,kt/year,13.633763488121353,285.01456145320054,0.04783532258354463
China,CHN,Asia,kt/year,1676.3587305709261,7108.844121102454,0.23581312264179358
Macao SAR China,MAC,Asia,kt/year,0.06229268152819936,3.449203294187951,0.018060020304736774
Hong Kong SAR China,HKG,Asia,kt/year,10.247577268667676,57.69726505380547,0.17760941110659784
Chile,CHL,Americas,kt/year,31.00788502347961,78.76587387801187,0.39367156735292325
Chad,TCD,Africa,kt/year,15.750616881450723,166.11068220230263,0.09482001201023535
Central African Republic,CAF,Africa,kt/year,7.717653261158017,62.67259887647781,0.12314238438346613
Cape Verde,CPV,Africa,kt/year,0,0,NA
Canada,CAN,Americas,kt/year,149.8988319327574,374.66264289091953,0.4000901471684739
Cameroon,CMR,Africa,kt/year,13.045212707720792,249.76564063768697,0.05222981301356952
Cambodia,KHM,Asia,kt/year,43.959212660180036,102.69263245199431,0.4280658856489012
Myanmar (Burma),MMR,Asia,kt/year,34.869713302778536,232.07875991575935,0.15024948132020202
Burundi,BDI,Africa,kt/year,1.1418615070007918,46.201681498216594,0.024714717516176727
Burkina Faso,BFA,Africa,kt/year,5.66377340583643,244.3140695834853,0.023182346458770133
Bulgaria,BGR,Europe,kt/year,8.498499132804794,71.23180108563747,0.11930765477328852
Brunei,BRN,Asia,kt/year,0.5681913659163742,5.333700674194604,0.10652854380550178
Brazil,BRA,Americas,kt/year,324.86156995696854,3083.1273443177392,0.10536754849120794
Botswana,BWA,Africa,kt/year,5.123763865465534,54.954707570224194,0.09323612283657597
Bosnia & Herzegovina,BIH,Europe,kt/year,3.329947199863449,20.18651095074384,0.16495902674754925
Bolivia,BOL,Americas,kt/year,3.3354107485008546,150.59423431099424,0.02214832967384961
Bhutan,BTN,Asia,kt/year,11.27779807172172,48.96978999824881,0.2303011320270114
Benin,BEN,Africa,kt/year,3.7158905592090457,88.88496685240632,0.04180561337643619
Belize,BLZ,Americas,kt/year,10.295494185786906,44.93828967694931,0.22910293782426452
Belgium,BEL,Europe,kt/year,13.271871128016613,341.9194715766248,0.03881578041408022
Belarus,BLR,Europe,kt/year,1.2374422184073435,71.40348918456056,0.017330276608876326
Barbados,BRB,Americas,kt/year,0,0,NA
Bangladesh,BGD,Asia,kt/year,79.75675691733471,526.8474319070613,0.1513849211120464
Bahrain,BHR,Asia,kt/year,1.5170537837154272,4.747097803415084,0.3195750006717898
Bahamas,BHS,Americas,kt/year,3.192128419018518,12.95649369041229,0.2463728609987029
Azerbaijan,AZE,Asia,kt/year,0.033387982844862156,41.59797210208925,8.026348679431238e-4
Austria,AUT,Europe,kt/year,2.719249747340179,36.53185812897462,0.07443502429413665
Australia,AUS,Oceania,kt/year,213.1454693799482,954.3538048051317,0.22334009494882257
Heard & McDonald Islands,HMD,Africa,kt/year,0,0,NA
Norfolk Island,NFK,Oceania,kt/year,0,0,NA
Armenia,ARM,Asia,kt/year,0.018259170565554907,17.81624368585001,0.0010248608453900232
Argentina,ARG,Americas,kt/year,174.43716590048112,938.6359829870388,0.18584112378194417
Antigua & Barbuda,ATG,Americas,kt/year,0,0,NA
Angola,AGO,Africa,kt/year,11.901996546348196,83.74006752446118,0.14213024777979216
Andorra,AND,Europe,kt/year,1.9386762697076425,31.409934199523786,0.061721755206256855
Algeria,DZA,Africa,kt/year,6.564932798553455,194.2471473111278,0.03379680417153478
Albania,ALB,Europe,kt/year,6.959745437677948,48.37258538228749,0.14387788832610932
Afghanistan,AFG,Asia,kt/year,10.011591087358626,141.91072296958,0.07054851724985371
Antarctica,ATA,Antarctica,kt/year,0,0,NA
Sint Maarten,SXM,Americas,kt/year,0,0,NA
Tuvalu,TUV,Oceania,kt/year,0,0,NA
